trans_unix,merchant,category,amt,gender,city,state,city_pop,job,dob_unix,is_fraud,logamt
10.75,342,13,3.45,1,419,5,45303,404,30672000,0,1.238374231
2.24,637,10,7.56,2,858,35,11250,270,272073600,0,2.02287119
4.51,67,8,52.82,2,891,36,341,5,314323200,0,3.966889907
8.52,240,5,92.72,1,108,41,1725,425,186969600,0,4.529584199
4.41,355,9,9.64,2,683,34,276896,241,889660800,0,2.265921109
12.36,491,7,44.12,1,433,39,213,429,98496000,0,3.786913194
12.93,398,8,93.05,2,493,39,4653,314,899251200,0,4.533136983
10.36,21,5,127.53,2,826,11,74,332,-777427200,0,4.848351631
2.68,155,10,31.16,2,450,13,695,7,-456537600,0,3.439135221
1.37,2,11,81.16,2,339,43,4729,214,419558400,0,4.396422515
6.8,485,8,50.93,1,681,25,241,253,183600000,0,3.930452141
9.63,675,10,82.08,2,31,25,35439,261,512611200,0,4.407694381
12.86,513,7,25.77,1,786,11,1324,175,-1340409600,0,3.249211025
7.25,645,1,17.74,2,709,46,9815,122,205459200,0,2.875821977
10.56,663,1,182.24,1,350,17,2691,30,776995200,0,5.2053245
9.04,555,10,35.48,2,226,6,565,295,304560000,0,3.568969157
10.84,297,11,2.7,1,786,11,1324,175,-1340409600,0,0.993251773
7.99,402,14,2.03,1,251,3,969,338,-473040000,0,0.708035793
12.7,582,7,102.82,2,90,30,614,42,-48470400,0,4.632979887
8.5,147,5,153.89,2,85,27,1939,329,-62208000,0,5.036238061
9.19,71,10,1.47,2,518,32,3279,220,307929600,0,0.385262401
10.96,576,2,61.98,1,381,48,50489,325,478396800,0,4.126811752
7.62,620,1,7.2,2,161,26,3451,196,485308800,0,1.974081026
5.64,334,7,127.78,1,739,10,50835,179,538963200,0,4.850310035
7.11,318,2,42.86,2,205,42,1979,301,37670400,0,3.75793899
1.15,677,10,2.49,1,89,41,1523,396,486604800,0,0.91228271
2.41,576,2,72.5,1,113,48,14871,377,163641600,0,4.283586562
9.16,505,12,86.94,2,413,25,1201,155,353721600,0,4.465218226
9.4,261,6,1.1,2,620,5,171170,73,-176083200,0,0.09531018
7.94,20,13,7.24,1,136,25,2368,149,648172800,0,1.979621206
11.45,63,10,7.03,2,811,27,192,206,-157593600,0,1.950186706
7.56,164,11,47.29,1,218,15,2263,408,495417600,0,3.856298857
11.5,611,13,23.72,1,145,15,478,262,-283046400,0,3.166318574
9.17,543,5,72.58,1,386,51,100,378,166838400,0,4.284689402
4.76,681,4,51.21,1,783,5,54287,123,117504000,0,3.935934825
11.95,388,13,2.93,1,607,16,1228,114,700358400,0,1.075002423
3.29,542,6,82.59,1,563,35,1577385,43,-347414400,0,4.413888608
12.14,404,13,401.22,1,389,15,128354,452,727401600,0,5.994509905
2.56,318,2,66.22,1,119,35,6460,54,-292377600,0,4.192982532
8.69,215,7,78.92,2,264,39,2054,97,244339200,0,4.368434681
6.94,13,5,112.5,1,611,48,149,429,298771200,0,4.722953222
3.08,98,7,15.33,1,796,45,46,441,577670400,0,2.729811693
6.63,172,2,7.75,1,153,37,1760,316,96249600,0,2.047692843
6.66,342,13,474.74,1,282,38,260,167,-389232000,0,6.162767286
1.6,310,5,127.19,1,553,10,276002,342,-1089590400,0,4.845682031
3.29,592,11,70.49,2,519,39,645,324,169603200,0,4.255470856
1.97,529,12,481.54,1,167,6,525713,304,736905600,0,6.176989302
4.48,540,4,38.42,1,113,48,14871,377,163641600,0,3.648578157
12.32,248,10,94.07,2,253,33,18408,227,111801600,0,4.544039186
8.02,118,3,80.02,1,111,48,3684,307,407376000,0,4.382276603
1.94,415,5,191.6,1,384,10,5719,226,815529600,0,5.255409866
4.9,523,3,88.25,2,63,27,18182,164,204768000,0,4.480173696
2.43,633,4,77.98,1,349,47,4542,87,921801600,0,4.356452384
6.57,226,10,314.47,1,584,49,2328,29,-851644800,0,5.750888682
7,624,9,7.1,1,680,33,606,440,621043200,0,1.960094784
4.6,158,3,70.21,2,4,23,937,455,-338947200,0,4.251490751
7.62,95,5,108.5,2,394,5,633,221,-1303776000,0,4.686750173
10.26,473,5,50.58,2,9,44,13602,323,489369600,0,3.923556241
1.15,469,5,35.59,2,725,5,1241364,103,596764800,0,3.5720647
4.09,108,3,39.43,1,322,35,69,75,707616000,0,3.674526948
9.82,677,10,36.44,2,491,42,295,125,380851200,0,3.595667072
11.69,285,13,1.4,1,184,39,1606,139,-83548800,0,0.336472237
4.35,48,3,62.58,2,306,5,308,60,-324518400,0,4.136445738
6.34,34,13,3.88,1,75,13,888,61,606787200,0,1.355835154
4.8,164,11,39.43,1,172,48,85,391,494380800,0,3.674526948
5.31,498,3,32.08,1,770,24,2607,266,849571200,0,3.468232783
7.06,529,12,107.38,2,126,30,566,297,191462400,0,4.676373945
12.46,57,13,144.04,2,678,30,2202,428,172540800,0,4.970091039
7.09,497,8,21.3,1,642,39,1526206,436,504921600,0,3.058707073
2.17,533,13,5.81,1,803,49,9594,419,911779200,0,1.759580571
4.16,295,1,169.73,2,69,2,71463,385,634435200,0,5.134208939
8.66,469,5,92.96,1,820,25,271,261,103939200,0,4.532169293
7.24,285,13,1.01,1,204,3,5161,148,765763200,0,0.009950331
5.53,678,10,195.27,1,489,39,2379,405,64627200,0,5.274383216
9.79,549,3,87.89,2,111,37,471,437,-876009600,0,4.476086033
10.77,428,5,103.84,1,449,15,324,416,235180800,0,4.642851253
9.39,119,4,68.53,1,525,28,3495,371,605404800,0,4.227271606
10.18,247,13,30.55,1,557,41,2206,49,567907200,0,3.419364686
5.01,390,1,160.38,1,264,39,2054,321,-170812800,0,5.077545999
1.63,595,12,154.09,1,276,42,355,195,-426643200,0,5.037536847
12.02,664,7,33.55,1,122,10,156391,226,-28252800,0,3.513036863
9.96,457,7,85.42,2,518,32,3279,220,307929600,0,4.447580265
12.19,312,2,124.28,2,523,28,69793,109,-475459200,0,4.822537085
5.74,123,6,106.7,2,516,41,1514,80,-64627200,0,4.670021158
5.51,494,6,12.25,1,108,41,1725,425,186969600,0,2.505525937
3.82,238,12,7.5,1,87,36,338,382,617587200,0,2.014903021
3.06,480,13,8.34,2,526,33,7268,466,618192000,0,2.121063216
11.51,44,3,49.85,2,709,46,9815,122,205459200,0,3.909018496
5.15,623,3,90.26,1,882,24,516,29,-81129600,0,4.502694394
2.77,391,3,75.75,2,826,11,74,332,-777427200,0,4.327438444
2.06,370,8,93.52,2,75,2,493806,307,363744000,0,4.538175317
11.08,533,13,14.22,1,294,2,15647,413,-347673600,0,2.654649424
4.36,687,2,49.22,1,814,44,144160,433,484012800,0,3.896300045
6.11,392,8,72.44,1,770,24,2607,266,849571200,0,4.282758633
5.03,623,3,47.42,1,755,18,6841,471,960163200,0,3.859044081
4.73,157,14,5.34,1,819,26,4198,115,1024704000,0,1.675225653
12.49,329,5,98.48,2,470,42,1126,486,366940800,0,4.589853482
1.35,608,3,65.26,1,314,28,5903,284,781488000,0,4.178379291
8.83,410,13,74.16,1,138,35,4015,235,87782400,0,4.306224921
5.56,670,10,4.81,1,681,25,241,253,183600000,0,1.570697084
9.39,132,13,230.01,2,210,19,71335,223,801878400,0,5.438122786
1.64,558,12,131.99,1,845,49,15426,161,-1023926400,0,4.882726162
10.2,367,11,23.69,2,23,16,2304,398,-424137600,0,3.165053018
10.7,165,7,24.54,1,869,23,765,241,108691200,0,3.200304439
7.38,33,13,3.92,1,358,44,2906700,28,462067200,0,1.366091654
5.07,238,12,2.26,1,819,26,4198,115,1024704000,0,0.815364813
1,121,4,63.98,2,518,32,3279,220,307929600,0,4.158570535
9.57,344,11,73.76,2,38,38,1302,121,245980800,0,4.300816579
11.77,4,1,243.48,1,587,28,21134,134,478915200,0,5.495034804
7.81,147,5,133.04,1,355,30,1745,156,157248000,0,4.890649835
10.8,43,13,5.04,2,313,19,55581,49,116640000,0,1.617406082
9.56,188,7,35.52,2,84,32,15269,373,773366400,0,3.570095918
1.4,254,11,34.9,1,745,44,46563,445,53395200,0,3.552486829
9.2,173,9,127.75,1,316,11,10295,453,914630400,0,4.850075229
10.98,596,1,83.69,1,405,44,24536,301,466473600,0,4.427119496
4.17,392,8,47.65,2,470,42,1126,486,366940800,0,3.86388263
1.8,104,2,49.89,2,187,44,1897,79,-495590400,0,3.909820582
